prompt,completion
"Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Pumps. Country of Origin is India. Heel Type is Flat. Heel Height is Flat. Brand is John Lewis. Exact Heel Height is 1cm. Toe Detail is Closed Toe, Square. Composition is Upper: leather, Sole: synthetic, Lining: leather.","Add texture and colour to your outfit with our Holly ballerina pumps.
Designed from leather in an intricate woven pattern, these shoes are an easy slip-on wear with anything option finished with an attractive square toe and subtle John Lewis & Partners button branding on the heel.
Crafted in a sacchetto construction, this flexible ballerina is a dependable choice for effortless elegance.
Good to know: Clean regularly with a good quality neutral or matching shoe polish. Use a soft cloth to apply, and allow the polish to dry so the leather can absorb it properly. Then buff it away with a soft cloth or brush.
John Lewis & Partners introduces a new style philosophy focused on individuality, colour and versatility. Each piece is designed to work together and with your existing wardrobe.
Designed in-house, the collection features contemporary clothing and accessories with strong, clean lines. Every season, our designers create distinct colour groups that include both the building blocks of every wardrobe and vibrant stand-out pieces that add a finishing touch.
Empower your personal style and mix, match, tone and clash. John Lewis & Partners: it’s how you wear it."
Washing Instructions is Do Not Wash. Shoe Or Boot Style is Pumps. Main Shoe Material is Suede. Heel Type is Wedge. Heel Height is Low. Brand is Gabor. Exact Heel Height is 3cm. Comfort and Fit is Wide Fit. Toe Detail is Round. Material is Upper; Nubuck Inner; Fleece Sole.,"Slipping on effortlessly for busy days ahead, this pair of pumps from Gabor is crafted from nubuck in a perforated design for comfort and longevity of wear.
Set on a wedged, cork heel, they have a rounded toe for everyday charm."
"Washing Instructions is Machine Washable. Main Shoe Material is Suede. Shoe Or Boot Style is Court Shoes. Heel Type is Block. Heel Height is Low. Brand is Gabor. Exact Heel Height is 4cm. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Closed Toe. Material is Upper: leather. Sole: rubber. Lining: leather..","Bringing a sleek edge to your footwear collection with its scalloped edge, this pair of court shoes from Gabor offers an elegant touch to your ensemble with its soft suede uppers.
Set on a block heel, they have been designed with underfoot cushioning to provide extra support when on your feet and are finished with a closed toe.
Heel height: 4cm"
"Heel Height is Mid. Brand is Gabor. Occasion Type is Smart. Shoe Or Boot Style is Court Shoes. Main Shoe Material is Suede. Exact Heel Height is 5.5cm.  Heel Style is Covered. Heel Type is Block. Toe Detail is Closed Toe, Pointed. Material is Upper: suede. Lining: leather. Sole: TPU.","The ultimate in stalwart style, this pair of courts from Gabor is crafted from a smooth suede for quality that lasts.
Set on a block heel and with an ankle buckle strap, they are finished with a pointed toe that elongates the profile.
Heel height: 5.5cm"
"Heel Height is Mid. Brand is Barbour. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Espadrilles, Heeled Sandals. Exact Heel Height is 5cm. Fastening is Buckle. Heel Type is Wedge. Toe Detail is Round. Material is Upper: suede, Lining: synthetic, Sole: jute.","These Barbour espadrille wedges are a beautiful choice for sunny days. Featuring suede uppers, a slim ankle strap, a branded buckle and a traditional jute-detailed heel, they'll make the perfect companion to dresses and trousers."
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Block. Heel Height is Low. Brand is Hush Puppies. Exact Heel Height is 2.5cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe. Composition is Upper: leather, Sole: TPR, Lining: leather.","Comfortable for day-to-day, these semi-formal leather ballet shoes with beautiful low profile are designed with a cross over weave pattern at toe and low stacked heel. Complete with a comfort leather sock and lining."
Washing Instructions is Wipe Clean Only. Shoe Or Boot Style is Mules. Main Shoe Material is Rubber. Heel Type is Flatform. Heel Height is Low. Brand is Crocs. Exact Heel Height is 3cm. Toe Detail is Closed Toe. Composition is 100% EVA.,"Slip into your favourite clog and enjoy a custom fit, water-friendly design and ventilated forefoot for breathability. The croslite footbed moulds to your foot for a custom fit with excellent arch support. The perfect shoe for beach or boat."
"Heel Height is Mid. Washing Instructions is  Do not wash   . Brand is John Lewis. Occasion Type is Casual. Main Shoe Material is Suede. Shoe Or Boot Style is Espadrilles, Slingback Sandals. Country of Origin is Spain. Fastening is Slip-On. Heel Type is Wedge. Toe Detail is Peep Toe. Composition is Suede.","Our Knights wedges perfectly strike the smart/casual balance. 
Expertly crafted in Spain from super-soft suede, they have a peep toe, a sleek shape slingback strap and a wearable espadrille wedge heel. 
Wear yours as an alternative to your usual courts for a more summery feel.
Let any loose dirt dry out, then gently brush it off. You can get rid of stains with a specialist cleaner. After cleaning, it is a good idea to use a waterproofing spray, to 
protect them from weather and any splashes or spills.
By purchasing this product, you are supporting responsible leather manufacturing through the Leather Working Group."
Washing Instructions is Do Not Wash. Main Shoe Material is Leather. Shoe Or Boot Style is Brogues. Heel Type is Block. Heel Height is Low. Brand is Geox. Occasion Type is Casual. Toe Detail is Closed Toe. Composition is Upper: leather. Pattern Details is Plain.,"In a classic derby style, these shoes by Geox is made with supple leather for a luxurious feel.
Set on a block heel, they are finished with a closed toe."
"Brand is Hotter. Occasion Type is Casual. Shoe Or Boot Style is Walking. Main Shoe Material is Nubuck. Heel Type is Flat. Comfort and Fit is Underfoot Cushioning. Composition is Upper: waxed nubuck and textile, Lining: textile, Sole: synthetic.","Taking on unfamiliar terrain in style, this pair of walking boots from Hotter is crafted with nubuck uppers for a durable and comfortable fit.
Sitting on a flat heel, they have been designed with underfoot cushioning to provide extra support when on your feet and are shaped with a round toe for everyday appeal."
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Low. Brand is Hotter. Occasion Type is Casual. Exact Heel Height is 2cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Closed Toe, Round. Composition is Upper: leather, Lining: leather and textile, Sole: polyurethane.","In a versatile style that will serve you all year, this pair of pumps by Hotter is made from leather for comfort and quality that you can rely on.
Set on a flat heel with a riptape fastening, they have been designed with underfoot cushioning to provide extra support when on your feet and are round-toed in a design that is sure to make your everyday staples sing.
Heel height: 2cm"
"Main Shoe Material is Leather. Shoe Or Boot Style is Mary Janes. Heel Type is Flatform. Heel Height is Low. Brand is Hotter. Occasion Type is Casual. Exact Heel Height is 3.5cm. Comfort and Fit is Underfoot Cushioning. Toe Detail is Almond, Closed Toe, Round. Material is Upper: leather, Lining: leather and textile, Sole: synthetic. Pattern Details is Animal.","Keeping it functional with a Mary-Jane look, these shoes from Hotter is made with supple leather for a luxurious feel.
Sitting on a flatform heel, they are designed with underfoot cushioning for ultimate comfort and end in a simple round toe.
Heel height: 3.5cm"
"Shoe Or Boot Style is Pumps. Main Shoe Material is Leather. Heel Type is Flat. Heel Height is Low. Brand is Hotter. Occasion Type is Casual. Exact Heel Height is 2cm. Comfort and Fit is Underfoot Cushioning, Wide Fit. Toe Detail is Closed Toe, Round. Composition is Upper: leather, Lining: leather and textile, Sole: polyurethane.","Slipping on for effortlessly for busy days ahead, this pair of pumps from Hotter is crafted from leather for comfort and longevity of wear.
Set on a flat heel with a riptape fastening, they are designed for the wider foot with underfoot cushioning for ultimate comfort and are finished with a rounded toe.
Heel height: 2cm"
"Main Shoe Material is Synthetic. Shoe Or Boot Style is Court Shoes. Heel Type is Stiletto. Heel Height is High. Brand is Carvela. Occasion Type is Smart. Exact Heel Height is 9.5cm. Toe Detail is Closed Toe, Pointed. Material is Upper: synthetic, Lining: synthetic, Sole: synthetic . Pattern Details is Embellishment.","Bringing a sleek edge to your footwear collection, this pair of court shoes from Carvela comes in a soft, yet durable fabric that's built to last.
Sitting on a stiletto heel, they feature a pointed toe for a sharp finish.
Heel height: 9.5cm"
"Shoe Or Boot Style is Court Shoes. Main Shoe Material is Textile. Heel Type is Stiletto. Heel Height is High. Brand is Kurt Geiger London. Occasion Type is Smart. Exact Heel Height is 10cm. Toe Detail is Pointed. Material is Upper: fabric, Lining: synthetic, Sole: synthetic . Pattern Details is Embellishment.","The ultimate in stalwart style, this pair of courts from Kurt Geiger London offers a distinctive edge with its textile uppers and crystal-set strap.
Set on a stiletto heel, they are finished with a pointed toe that elongates the profile.
Heel height: 10cm"
"Shoe Or Boot Style is Loafers. Main Shoe Material is Leather. Heel Type is Flatform. Heel Height is Low. Brand is Carvela. Occasion Type is Casual. Toe Detail is Round. Composition is upper: leather, lining: synthetic, sole: synthetic."," These chunky loafers from Carvela are on-trend. With a flatform leather design, they work as well with dresses as they do with tailored trousers. "
"Shoe Or Boot Style is Fashion Trainers. Main Shoe Material is Leather. Heel Type is Flatform. Heel Height is Low. Brand is Moda in Pelle. Exact Heel Height is 4cm. Toe Detail is Closed Toe, Round. Composition is Upper: leather, Sole: rubber. Pattern Details is Plain.","A favourite for off-duty days, this pair of trainers from Moda in Pelle is fashioned from leather for footwear that will last for years to come.
Set on a flatform heel, they feature a fringe trim and decorative buckle for a distinctive edge.
Heel height: 4cm"
"Heel Height is High. Brand is Boden. Occasion Type is Casual. Shoe Or Boot Style is Heeled Sandals. Main Shoe Material is Textile. Exact Heel Height is 10cm. Heel Type is Platform. Toe Detail is Round. Material is Upper: textile, Sole: synthetic.","Primed for evenings in good company, this pair of heeled sandals from Boden is made with textile uppers for a light and comfortable wear.
Sitting on a platform heel, they are round-toed in design and are sure to make your everyday staples sing.
Heel height: 10cm"
"Brand is adidas. Occasion Type is Casual. Main Shoe Material is Synthetic. Shoe Or Boot Style is Fashion Trainers. Fastening is Lace-Up. Toe Detail is Round. Material is Upper: synthetic, Sole: cloudfoam.","Build your outfit from the shoes up, because these adidas trainers are the stars.
Inspired by retro B-ball shoes, they elevate the classic sporty shape with a leather upper with suede accents. They're kitted out for comfort, with Cloudfoam cushioning around the foot and Geofit padding to support the ankle. 
Made in part with recycled content generated from production waste, e.g. cutting scraps, and post-consumer household waste to avoid the larger environmental impact of producing virgin content. 25% of the components used to make the upper are made with a minimum of 50% recycled content."
